kind,key,name,team,fotmob_id,file,status
face,1339,Tyler Adams,United States,729769,outputs/assets/faces/1339.png,ok
face,8054,Adrien Rabiot,France,352879,outputs/assets/faces/8054.png,ok
face,1168,Nouhou Tolo,Cameroon,797551,outputs/assets/faces/1168.png,ok
face,14013,Aymen Dahmen,Tunisia,982855,outputs/assets/faces/14013.png,ok
face,9,Aymeric Laporte,Spain,411617,outputs/assets/faces/9.png,ok
face,8257,Harry Souttar,Australia,671518,outputs/assets/faces/8257.png,ok
face,195,Richarlison,Brazil,654908,outputs/assets/faces/195.png,ok
face,8037,Dusan Tadić,Serbia,94267,outputs/assets/faces/8037.png,ok
face,1530,Pedri,Spain,1083323,outputs/assets/faces/1530.png,ok
face,3316,Joel Campbell,Costa Rica,242094,outputs/assets/faces/3316.png,ok
face,1676,Eder Militao,Brazil,844415,outputs/assets/faces/1676.png,ok
face,1336,Timothy Weah,United States,889536,outputs/assets/faces/1336.png,ok
face,8027,Noussair Mazraoui,Morocco,775539,outputs/assets/faces/8027.png,ok
face,8854,Jackson Irvine,Australia,369742,outputs/assets/faces/8854.png,ok
face,1973,Antonee Robinson,United States,662428,outputs/assets/faces/1973.png,ok
face,3895,Ismail Jakobs,Senegal,906945,outputs/assets/faces/3895.png,ok
face,11790,Steven Vitoria,Canada,163994,outputs/assets/faces/11790.png,ok
logo,arg,,Argentina,,outputs/assets/logos/arg.png,ok
logo,bra,,Brazil,,outputs/assets/logos/bra.png,ok
logo,ecu,,Ecuador,,outputs/assets/logos/ecu.png,ok
logo,uru,,Uruguay,,outputs/assets/logos/uru.png,ok
logo,bel,,Belgium,,outputs/assets/logos/bel.png,ok
logo,cro,,Croatia,,outputs/assets/logos/cro.png,ok
logo,den,,Denmark,,outputs/assets/logos/den.png,ok
logo,eng,,England,,outputs/assets/logos/eng.png,ok
logo,fra,,France,,outputs/assets/logos/fra.png,ok
logo,ger,,Germany,,outputs/assets/logos/ger.png,ok
logo,ned,,Netherlands,,outputs/assets/logos/ned.png,ok
logo,pol,,Poland,,outputs/assets/logos/pol.png,ok
logo,por,,Portugal,,outputs/assets/logos/por.png,ok
logo,srb,,Serbia,,outputs/assets/logos/srb.png,ok
